id,x,y,d,p,,
133,187,23,6,2,,
134,217,29,6,8,,
135,198,38,9,5,,
136,115,97,6,6,,
137,3,176,6,3,,
138,110,154,6,5,,
139,67,115,6,8,,
140,189,19,4,4,,
141,11,29,7,5,,
142,165,36,3,5,,
143,144,78,6,4,,
144,112,15,3,4,,
145,150,215,5,4,,
146,120,258,12,6,,
147,186,281,4,5,,
148,254,111,7,5,,
149,294,63,3,5,,
150,88,154,5,7,,
151,271,63,3,6,,
152,282,117,6,8,,
153,72,286,7,6,,
154,287,161,4,5,,
155,161,171,7,6,,
156,275,101,3,7,,
157,201,293,6,7,,
158,182,269,2,7,,
159,220,296,8,3,,
160,182,283,5,3,,
161,155,124,4,4,,
162,189,266,5,11,,
163,262,24,5,9,,
164,155,103,7,2,,
165,43,210,5,6,,
166,241,60,2,6,,
167,176,294,7,6,,
168,233,186,6,3,,
169,170,67,6,5,,
170,24,85,3,5,,
171,162,261,5,8,,
172,109,8,9,5,,
173,104,254,5,8,,
174,299,118,3,7,,
175,264,91,7,2,,
176,54,88,7,4,,
177,89,211,9,3,,
178,172,85,5,8,,
179,29,275,10,1,,
180,233,150,8,4,,
181,284,77,3,5,,
182,291,263,0,2,,
183,44,113,4,5,,
184,26,215,5,3,,
185,152,164,2,3,,
186,2,131,4,3,,
187,146,240,6,7,,
188,122,293,8,6,,
189,11,111,7,3,,
190,230,108,6,3,,
191,150,78,4,6,,
192,79,152,9,6,,
193,48,260,5,4,,
194,211,129,5,3,,
195,51,295,4,4,,
196,179,102,6,7,,
197,111,225,8,9,,
198,245,264,7,6,,
199,239,272,6,8,,
200,43,213,5,7,,
201,76,253,3,3,,
202,124,22,5,5,,
203,158,220,8,4,,
204,299,91,2,6,,
205,212,253,8,5,,
206,94,126,3,2,,
207,64,118,4,9,,
208,113,283,2,4,,
209,42,300,3,9,,
210,288,163,6,2,,
211,156,201,7,5,,
212,133,176,6,7,,
213,197,101,9,8,,
214,80,129,2,6,,
215,129,58,2,3,,
216,180,147,2,5,,
217,45,257,2,1,,
218,232,252,5,4,,
219,83,125,5,5,,
220,196,121,6,6,,
221,258,66,3,5,,
222,278,170,5,7,,
223,140,229,5,3,,
224,40,11,6,6,,
225,278,14,5,4,,
226,56,7,3,5,,
227,295,30,2,1,,
228,82,115,5,3,,
229,240,250,8,6,,
230,261,214,4,6,,
231,163,223,7,5,,
232,238,215,4,4,,
233,196,166,6,2,,
234,58,21,4,5,,
235,289,224,6,7,,
236,166,31,4,8,,
237,82,150,6,7,,
238,116,233,1,0,,
239,212,147,1,8,,
240,193,269,4,4,,
241,63,215,7,5,,
242,146,102,7,4,,
243,215,294,8,8,,
244,51,104,4,5,,
245,104,263,4,5,,
246,217,34,8,3,,
247,190,292,6,6,,
248,95,9,6,7,,
249,184,43,5,4,,
250,114,186,7,3,,
251,166,160,5,3,,
252,23,153,2,5,,
253,259,149,4,7,,
254,295,263,2,5,,
255,118,207,5,7,,
256,284,262,4,8,,
257,223,15,5,2,,
258,152,50,3,6,,
259,222,232,4,8,,
260,82,92,8,1,,
261,87,209,6,6,,
262,108,291,6,6,,
263,182,109,4,7,,
264,31,239,2,5,,
265,198,75,2,0,,
266,15,36,8,6,,
267,267,114,6,4,,
268,233,32,1,7,,
269,78,175,5,7,,
270,4,124,4,1,,
271,206,41,4,3,,
272,102,191,7,4,,
273,103,291,6,5,,
274,128,248,8,7,,
275,112,57,2,5,,
276,266,73,5,2,,
277,122,202,5,7,,
278,201,287,5,8,,
279,207,104,7,4,,
280,105,161,6,8,,
281,24,174,5,7,,
282,250,115,4,3,,
283,231,205,6,5,,
284,214,244,6,7,,
285,41,200,5,9,,
286,123,199,5,5,,
287,289,47,7,4,,
288,182,241,5,6,,
289,42,281,6,6,,
290,189,110,4,0,,
291,296,184,7,6,,
292,147,236,3,5,,
293,134,217,2,3,,
294,104,128,2,4,,
295,8,275,5,5,,
296,188,59,6,5,,
297,238,235,3,4,,
298,60,17,7,2,,
299,189,122,5,8,,
300,214,111,6,5,,
301,288,235,0,4,,
302,85,84,0,3,,
303,222,166,0,4,,
304,18,24,0,7,,
305,70,260,0,4,,
306,142,177,0,3,,
307,294,6,0,7,,
308,140,108,0,3,,
309,189,76,0,3,,
310,188,36,0,5,,
311,162,153,0,4,,
312,252,161,0,7,,
313,261,138,0,8,,
314,234,100,0,1,,
315,272,181,0,1,,
316,135,206,0,3,,
317,114,252,0,5,,
318,253,42,0,7,,
319,248,134,0,6,,
320,193,0,0,7,,
321,32,3,0,8,,
322,281,287,0,6,,
323,63,279,0,6,,
324,13,213,0,6,,
325,125,25,0,5,,
326,278,296,0,6,,
327,150,169,0,4,,
328,41,266,0,8,,
329,282,184,0,4,,
330,292,137,0,4,,
331,222,243,0,8,,
332,245,18,0,6,,
333,195,128,0,4,,
334,48,279,0,5,,
335,168,213,0,9,,
336,178,276,0,5,,
337,154,272,0,8,,
338,112,296,0,8,,
339,89,155,0,8,,
340,239,230,0,7,,
341,161,131,0,3,,
342,212,226,0,3,,
343,256,21,0,7,,
344,257,3,0,5,,
345,158,83,0,5,,
346,79,201,0,8,,
347,58,132,0,4,,
348,50,225,0,6,,
349,284,205,0,4,,
350,227,122,0,5,,
351,38,53,0,4,,
352,294,26,0,3,,
353,64,235,0,6,,
354,187,298,0,1,,
355,175,128,0,5,,
356,61,215,0,7,,
357,73,29,0,2,,
358,226,70,0,7,,
359,299,264,0,7,,
360,11,232,0,3,,
361,185,226,0,5,,
362,238,138,0,2,,
363,122,185,0,3,,
364,27,133,0,4,,
365,174,23,0,3,,
366,171,290,0,3,,
367,284,222,0,4,,
368,249,200,0,7,,
369,119,220,0,8,,
370,274,226,0,6,,
371,289,181,0,3,,
372,259,116,0,5,,
373,249,87,0,6,,
374,85,74,0,2,,
375,235,122,0,6,,
376,125,39,0,5,,
377,201,137,0,6,,
378,174,10,0,5,,
379,40,79,0,3,,
380,290,257,0,7,,
381,203,155,0,6,,
382,259,257,0,3,,
383,240,218,0,3,,
384,119,251,0,5,,
385,230,70,0,10,,
386,95,267,0,1,,
387,110,208,0,3,,
388,260,213,0,8,,
389,90,188,0,3,,
390,139,212,0,6,,
391,147,263,0,3,,
392,240,140,0,4,,
393,183,71,0,7,,
394,258,170,0,5,,
395,19,204,0,6,,
396,290,95,0,6,,
397,89,189,0,5,,
398,155,164,0,5,,
399,94,111,0,6,,
400,50,186,0,2,,
401,238,190,8,0,,
402,127,84,7,0,,
403,91,78,5,0,,
404,221,203,8,0,,
405,85,139,6,0,,
406,255,10,3,0,,
407,169,243,4,0,,
408,133,269,3,0,,
409,279,203,3,0,,
410,176,60,5,0,,
411,69,164,7,0,,
412,91,300,10,0,,
413,142,246,6,0,,
414,210,84,6,0,,
415,0,221,11,0,,
416,121,83,3,0,,
417,231,131,4,0,,
418,204,125,5,0,,
419,42,299,8,0,,
420,45,230,6,0,,
421,287,277,3,0,,
422,260,300,3,0,,
423,83,261,3,0,,
424,289,62,4,0,,
425,55,195,4,0,,
426,137,138,4,0,,
427,157,230,5,0,,
428,208,29,4,0,,
429,159,12,9,0,,
430,285,40,5,0,,
431,107,220,4,0,,
432,52,286,5,0,,
433,194,174,5,0,,
434,251,237,7,0,,
435,25,29,4,0,,
436,1,194,3,0,,
437,218,21,4,0,,
438,291,32,4,0,,
439,67,73,5,0,,
440,1,263,6,0,,
441,63,249,6,0,,
442,151,15,4,0,,
443,184,284,4,0,,
444,66,129,3,0,,
445,66,172,5,0,,
446,137,75,5,0,,
447,221,250,8,0,,
448,262,126,4,0,,
449,218,178,5,0,,
450,240,142,6,0,,
451,239,121,6,0,,
452,294,182,6,0,,
453,237,295,5,0,,
454,251,291,6,0,,
455,212,244,3,0,,
456,273,97,10,0,,
457,117,191,4,0,,
458,263,253,6,0,,
459,192,215,6,0,,
460,113,238,4,0,,
461,28,57,3,0,,
462,272,36,7,0,,
463,132,9,4,0,,
464,64,1,3,0,,
465,187,26,1,0,,
466,194,50,4,0,,
467,186,271,5,0,,
468,194,196,3,0,,
469,136,111,3,0,,
470,171,217,6,0,,
471,300,290,4,0,,
472,97,39,6,0,,
473,110,278,9,0,,
474,240,150,2,0,,
475,291,213,4,0,,
476,2,53,5,0,,
477,184,12,10,0,,
478,52,113,3,0,,
479,121,143,3,0,,
480,26,160,7,0,,
481,161,165,4,0,,
482,263,298,2,0,,
483,246,264,3,0,,
484,214,242,4,0,,
485,9,219,6,0,,
486,41,254,5,0,,
487,114,209,8,0,,
488,9,90,8,0,,
489,95,72,4,0,,
490,93,191,6,0,,
491,22,56,6,0,,
492,160,235,3,0,,
493,94,58,2,0,,
494,129,126,6,0,,
495,56,203,4,0,,
496,286,136,4,0,,
497,244,242,5,0,,
498,230,1,3,0,,
499,228,282,5,0,,
500,53,92,5,0,,
