id,x,y,d,p
373,249,87,0,6
374,85,74,0,2
375,235,122,0,6
376,125,39,0,5
377,201,137,0,6
378,174,10,0,5
379,40,79,0,3
380,290,257,0,7
381,203,155,0,6
382,259,257,0,3
383,240,218,0,3
384,119,251,0,5
385,230,70,0,10
386,95,267,0,1
387,110,208,0,3
388,260,213,0,8
389,90,188,0,3
390,139,212,0,6
391,147,263,0,3
392,240,140,0,4
393,183,71,0,7
394,258,170,0,5
395,19,204,0,6
396,290,95,0,6
397,89,189,0,5
398,155,164,0,5
399,94,111,0,6
400,50,186,0,2
401,238,190,8,0
402,127,84,7,0
403,91,78,5,0
404,221,203,8,0
405,85,139,6,0
406,255,10,3,0
407,169,243,4,0
408,133,269,3,0
409,279,203,3,0
410,176,60,5,0
411,69,164,7,0
412,91,300,10,0
413,142,246,6,0
414,210,84,6,0
415,0,221,11,0
416,121,83,3,0
417,231,131,4,0
418,204,125,5,0
419,42,299,8,0
420,45,230,6,0
421,287,277,3,0
422,260,300,3,0
423,83,261,3,0
424,289,62,4,0
425,55,195,4,0
426,137,138,4,0
427,157,230,5,0
428,208,29,4,0
429,159,12,9,0
430,285,40,5,0
431,107,220,4,0
432,52,286,5,0
433,194,174,5,0
434,251,237,7,0
435,25,29,4,0
436,1,194,3,0
437,218,21,4,0
438,291,32,4,0
439,67,73,5,0
440,1,263,6,0
441,63,249,6,0
442,151,15,4,0
443,184,284,4,0
444,66,129,3,3
445,66,172,5,0
446,137,75,5,0
447,221,250,8,0
448,262,126,4,5
449,218,178,5,5
450,240,142,6,0
451,239,121,6,0
452,294,182,6,0
453,237,295,5,0
454,251,291,6,0
455,212,244,3,0
456,273,97,10,0
457,117,191,4,0
458,263,253,6,0
459,192,215,6,0
460,113,238,4,0
461,28,57,3,0
462,272,36,7,0
463,132,9,4,0
464,64,1,3,0
465,187,26,1,0
466,194,50,4,0
467,186,271,5,0
468,194,196,3,0
469,136,111,3,0
470,171,217,6,0
471,300,290,4,0
472,97,39,6,0
473,110,278,9,0
474,240,150,2,0
475,291,213,4,0
476,2,53,5,0
477,184,12,10,0
478,52,113,3,0
479,121,143,3,0
480,26,160,7,0
481,161,165,4,0
482,263,298,2,0
483,246,264,3,0
484,214,242,4,0
485,9,219,6,0
486,41,254,5,0
487,114,209,8,0
488,9,90,8,0
489,95,72,4,0
490,93,191,6,0
491,22,56,6,0
492,160,235,3,0
493,94,58,2,0
494,129,126,6,0
495,56,203,4,0
496,286,136,4,0
497,244,242,5,0
498,230,1,3,0
499,228,282,5,0
500,53,92,5,0
