id,x,y,d,p
422,260,300,3,3
423,83,261,3,6
424,289,62,4,1
425,55,195,4,5
426,137,138,4,4
427,157,230,5,3
428,208,29,4,5
429,159,12,9,4
430,285,40,5,3
431,107,220,4,2
432,52,286,5,3
433,194,174,5,7
434,251,237,7,6
435,25,29,4,11
436,1,194,3,5
437,218,21,4,6
438,291,32,4,3
439,67,73,5,7
440,1,263,6,0
441,63,249,6,5
442,151,15,4,4
443,184,284,4,2
444,66,129,3,3
445,66,172,5,2
446,137,75,5,4
447,221,250,8,5
448,262,126,4,9
449,218,178,5,4
450,240,142,6,4
451,239,121,6,3
452,294,182,6,7
453,237,295,5,6
454,251,291,6,1
455,212,244,3,5
456,273,97,10,4
457,117,191,4,5
458,263,253,6,5
459,192,215,6,6
460,113,238,4,6
461,28,57,3,5
462,272,36,7,6
463,132,9,4,7
464,64,1,3,2
465,187,26,1,3
466,194,50,4,5
467,186,271,5,6
468,194,196,3,6
469,136,111,3,5
470,171,217,6,5
471,300,290,4,5
472,97,39,6,7
473,110,278,9,2
474,240,150,2,4
475,291,213,4,5
476,2,53,5,6
477,184,12,10,4
478,52,113,3,3
479,121,143,3,4
480,26,160,7,6
481,161,165,4,4
482,263,298,2,4
483,246,264,3,6
484,214,242,4,6
485,9,219,6,4
486,41,254,5,2
487,114,209,8,5
488,9,90,8,7
489,95,72,4,6
490,93,191,6,8
491,22,56,6,5
492,160,235,3,5
493,94,58,2,0
494,129,126,6,3
495,56,203,4,3
496,286,136,4,5
497,244,242,5,7
498,230,1,3,4
499,228,282,5,3
500,53,92,5,7
501,276,149,5,8
502,93,154,3,5
503,243,65,5,2
504,237,243,7,8
505,60,261,6,6
506,160,96,4,5
507,83,103,6,8
508,24,123,5,6
509,286,24,5,3
510,140,44,3,4
511,177,112,4,1
512,177,121,2,6
513,95,262,6,1
514,284,60,6,3
515,84,287,4,4
516,287,183,7,6
517,261,134,4,4
518,284,219,8,4
519,11,8,5,6
520,3,278,3,9
521,166,249,8,9
522,72,174,5,0
523,259,266,7,5
524,150,57,6,3
525,43,258,6,5
526,141,199,7,2
527,294,225,6,4
528,207,213,6,7
529,196,258,2,2
530,210,224,6,3
531,139,291,5,4
532,291,144,8,2
533,284,281,7,6
534,192,135,4,7
535,149,29,7,5
536,216,106,4,4
537,228,143,6,5
538,226,6,3,6
539,209,210,3,1
540,236,165,3,6
541,2,228,4,7
542,173,125,5,4
543,100,300,3,7
544,220,213,5,7
545,262,92,5,4
546,261,142,7,6
547,130,254,3,4
548,240,244,7,4
549,176,297,7,3
550,281,250,5,6
551,160,235,7,8
552,276,106,5,7
553,14,210,5,8
554,106,12,8,0
555,201,229,3,4
556,47,50,3,7
557,266,287,7,7
558,153,295,4,6
559,205,161,8,5
560,29,189,2,1
561,263,133,4,8
562,238,60,2,5
563,24,245,1,8
564,22,178,6,4
565,125,104,7,8
566,49,167,6,4
567,1,129,4,6
568,94,267,5,5
569,38,63,7,5
570,177,174,6,7
571,118,270,4,6
572,0,108,5,7
573,163,217,7,8
574,188,237,7,5
575,165,6,4,5
576,61,132,4,2
577,40,174,2,1
578,157,268,6,5
579,184,278,3,3
580,59,19,4,5
581,23,200,6,6
582,295,206,3,5
583,128,3,4,3
584,270,276,5,7
585,68,36,6,7
586,143,89,2,5
587,4,64,2,3
588,70,188,5,7
589,253,26,5,7
590,251,183,5,5
591,109,173,3,6
592,113,87,7,6
593,0,190,2,3
594,265,184,8,6
595,116,236,4,6
596,273,40,2,2
597,38,21,6,6
598,101,259,4,1
599,292,121,4,6
600,26,277,7,2
601,103,215,8,4
602,195,87,7,5
603,113,86,6,5
604,269,96,2,9
605,247,58,8,5
606,159,61,6,3
607,219,269,7,3
608,171,205,4,4
609,40,74,7,1
610,170,108,7,4
611,175,85,8,6
612,185,149,6,5
613,100,96,8,6
614,148,102,4,7
615,285,82,4,6
616,300,198,7,5
617,196,288,3,8
618,254,268,6,5
619,289,134,5,5
620,58,159,6,4
621,117,24,4,5
622,194,150,6,1
623,252,139,4,5
624,150,52,4,6
625,163,99,7,4
626,65,114,6,4
627,28,74,8,4
628,252,40,5,5
629,112,18,3,0
630,220,131,3,6
631,187,183,1,2
632,236,77,4,3
633,87,208,4,6
634,238,254,5,7
635,218,236,5,2
636,291,15,4,5
637,167,17,3,9
638,166,280,5,7
639,110,64,5,5
640,284,218,4,3
641,268,40,5,3
642,153,79,7,2
643,68,296,1,8
644,276,159,2,6
645,214,164,8,3
646,86,23,3,8
647,232,263,5,7
648,263,231,4,9
649,202,143,5,3
650,262,225,5,1
651,284,146,6,4
652,41,135,6,6
653,83,281,7,6
654,128,21,5,4
655,64,70,4,4
656,99,0,8,4
657,206,70,6,3
658,214,106,3,4
659,282,71,2,8
660,56,4,1,6
661,253,61,5,5
662,27,146,4,6
663,103,110,3,5
664,163,186,4,3
665,11,271,7,7
666,202,94,7,6
667,110,128,8,5
668,86,159,1,5
669,221,193,5,5
670,22,19,6,5
671,159,258,7,8
672,176,6,3,5
673,7,102,3,2
674,242,21,4,6
675,175,83,4,8
676,117,290,7,3
677,276,194,6,7
678,13,50,6,4
679,101,88,6,7
680,87,273,5,5
681,258,119,5,5
682,243,43,3,8
683,176,278,7,2
684,194,280,1,4
685,143,294,5,4
686,55,17,6,5
687,292,243,4,4
688,7,82,3,5
689,36,130,6,3
690,91,97,8,4
691,211,161,4,8
692,159,280,4,6
693,27,108,4,4
694,38,251,5,2
695,0,253,2,4
696,18,144,4,6
697,148,12,5,7
698,146,186,2,3
699,96,58,0,1
700,290,69,0,3
701,93,16,0,1
702,5,231,0,6
703,68,201,0,4
704,126,42,0,5
705,54,201,0,4
706,177,232,0,6
707,199,44,0,5
708,300,283,0,8
709,256,187,0,6
710,11,294,0,7
711,277,154,0,6
712,227,275,0,9
713,20,264,0,5
714,213,33,0,4
715,1,217,0,5
716,160,31,0,8
717,76,33,0,7
718,55,52,0,7
719,40,140,0,4
720,283,51,0,5
721,109,197,0,7
722,79,230,0,4
723,263,258,0,6
724,52,115,0,7
725,229,232,0,6
726,51,271,0,3
727,269,299,0,8
728,140,53,0,9
729,131,106,0,4
730,35,49,0,2
731,258,159,0,7
732,42,103,0,7
733,126,123,0,4
734,274,274,0,4
735,162,296,0,2
736,193,205,0,6
737,244,10,0,3
738,290,152,0,4
739,190,186,0,4
740,64,215,0,4
741,192,259,0,3
742,161,278,0,5
743,270,170,0,8
744,148,73,0,4
745,193,40,0,4
746,188,174,0,7
747,290,16,0,7
748,117,91,0,8
749,11,299,0,7
750,160,22,0,3
751,200,130,0,2
752,162,296,0,4
753,149,206,0,2
754,168,245,0,1
755,278,40,0,4
756,103,66,0,5
757,155,133,0,5
758,44,205,0,6
759,195,252,0,5
760,124,17,0,7
761,146,50,0,7
762,180,193,0,5
763,144,217,0,3
764,229,203,0,4
765,46,200,0,4
766,121,124,0,4
767,177,249,0,5
768,119,166,0,3
769,120,70,0,3
770,176,264,0,8
771,175,117,0,4
772,197,10,0,4
773,253,36,0,4
774,169,142,0,4
775,242,65,0,8
776,106,16,0,6
777,107,4,0,4
778,142,58,0,8
779,196,162,0,7
780,96,64,0,6
781,42,272,0,3
782,256,104,0,4
783,223,130,0,5
784,25,73,0,3
785,22,139,0,5
786,76,211,0,5
787,243,76,0,10
788,36,81,0,2
789,58,110,0,6
790,42,122,0,6
791,201,74,0,6
792,158,272,0,5
793,267,129,0,5
794,123,165,0,5
795,101,159,0,4
796,279,156,0,3
797,259,239,0,8
798,295,93,0,5
799,214,174,0,3
800,42,86,0,9
801,300,225,2,0
802,176,206,6,0
803,133,136,5,0
804,277,207,2,0
805,101,257,7,0
806,6,217,5,0
807,16,84,5,0
808,297,191,3,0
809,207,234,5,0
810,65,37,2,0
811,276,163,4,0
812,173,71,5,0
813,222,167,7,0
814,195,229,2,0
815,175,233,7,0
816,127,128,1,0
817,78,8,7,0
818,43,112,2,0
819,215,24,3,0
820,92,215,3,0
821,5,215,7,0
822,74,64,5,0
823,193,194,6,0
824,197,175,3,0
825,249,226,6,0
826,11,34,7,0
827,270,191,0,0
828,290,156,7,0
829,183,219,6,0
830,70,157,5,0
831,226,234,5,0
832,75,80,2,0
833,130,121,5,0
834,124,111,5,0
835,108,248,6,0
836,208,142,7,0
837,61,114,4,0
838,165,20,2,0
839,57,293,6,0
840,119,274,7,0
841,3,204,5,0
842,208,37,8,0
843,208,233,4,0
844,1,134,4,0
845,118,59,4,0
846,65,180,6,0
847,102,32,4,0
848,272,7,7,0
849,291,217,4,0
850,176,1,5,0
851,284,140,9,0
852,281,147,5,0
853,7,104,6,0
854,185,23,7,0
855,31,278,3,0
856,283,299,8,0
857,33,299,1,0
858,220,239,4,0
859,231,76,4,0
860,0,91,5,0
861,217,173,6,0
862,13,156,3,0
863,62,41,2,0
864,56,177,5,0
865,89,85,5,0
866,248,125,2,0
867,122,237,2,0
868,270,72,4,0
869,244,108,3,0
870,180,222,6,0
871,167,171,2,0
872,106,145,4,0
873,85,192,3,0
874,41,85,4,0
875,196,291,6,0
876,287,97,4,0
877,85,203,3,0
878,298,231,1,0
879,173,286,5,0
880,294,185,5,0
881,290,44,3,0
882,15,205,1,0
883,1,80,6,0
884,60,16,7,0
885,271,266,7,0
886,3,256,3,0
887,6,64,7,0
888,270,154,4,0
889,149,251,6,0
890,109,114,3,0
891,121,35,8,0
892,54,215,9,0
893,173,295,7,0
894,254,161,8,0
895,259,98,8,0
896,277,152,2,0
897,173,50,6,0
898,14,290,6,0
899,146,208,4,0
900,215,77,4,0
901,47,37,7,0
902,222,46,3,0
903,254,234,7,0
904,14,140,4,0
905,161,46,0,0
906,211,64,3,0
907,119,180,2,0
908,199,256,0,0
909,59,86,1,0
910,225,8,6,0
911,33,36,7,0
912,135,148,6,0
913,87,101,5,0
914,261,260,8,0
915,95,224,5,0
916,213,162,7,0
917,264,110,5,0
918,278,108,6,0
919,10,52,4,0
920,52,266,5,0
921,283,220,6,0
922,110,247,6,0
923,83,72,5,0
924,36,191,5,0
925,45,248,5,0
926,101,177,7,0
927,238,209,7,0
928,117,181,8,0
929,27,101,4,0
930,23,213,2,0
931,86,53,2,0
932,228,193,3,0
933,50,264,2,0
934,132,101,5,0
935,220,44,5,0
936,50,38,5,0
937,98,249,8,0
938,116,111,6,0
939,208,178,3,0
940,73,111,4,0
941,113,23,6,0
942,130,71,6,0
943,240,40,3,0
944,233,12,0,0
945,177,123,3,0
946,283,279,1,0
947,91,2,2,0
948,137,34,7,0
949,200,112,7,0
950,59,292,10,0
951,120,263,7,0
952,237,176,5,0
953,164,217,3,0
954,100,48,4,0
955,193,14,5,0
956,18,89,5,0
957,11,82,6,0
958,195,270,4,0
959,276,121,7,0
960,281,140,8,0
961,111,78,3,0
962,146,39,5,0
963,76,60,6,0
964,157,28,4,0
965,123,4,3,0
966,170,97,4,0
967,291,293,8,0
968,152,116,7,0
969,99,12,4,0
970,186,134,6,0
971,67,111,5,0
972,132,28,1,0
973,160,18,3,0
974,232,188,4,0
975,138,91,6,0
976,203,170,1,0
977,271,148,5,0
978,87,226,3,0
979,283,30,5,0
980,4,175,6,0
981,123,262,9,0
982,40,135,6,0
983,210,146,2,0
984,127,282,4,0
985,59,250,7,0
986,187,260,8,0
987,134,51,5,0
988,224,46,7,0
989,88,263,5,0
990,210,143,7,0
991,29,285,6,0
992,131,275,4,0
993,253,132,6,0
994,153,121,6,0
995,300,83,0,0
996,188,244,2,0
997,62,248,5,0
998,244,84,7,0
999,256,142,1,0
1000,94,49,4,0
